rank,Latitude,Longitude,Name of City,Country,2021 Population,2020 Population,Growth,Population Difference,Population Change
581,-15.8241847,35.053104,Blantyre-Limbe,Malawi,962145,932263,0.0321,29882,grew
582,19.7027116,-101.1923818,Morelia,Mexico,961834,948793,0.0137,13041,grew
583,27.6603206,113.8830806,Pingxiang Jiangxi,China,953042,928895,0.026,24147,grew
584,48.4680221,35.0417711,Dnipro,Ukraine,951821,957345,-0.0058,5524,declined
585,22.9372087,89.2852741,Khulna,Bangladesh,949229,953745,-0.0047,4516,declined
586,31.7788242,35.2257626,Jerusalem,Israel,944188,931756,0.0133,12432,grew
587,45.9893785,23.2575051,Cucuta,Colombia,943489,933380,0.0108,10109,grew
588,43.7009358,7.2683912,Nice,France,943342,942208,0.0012,1134,grew
589,30.3255646,78.0436813,Dehradun,India,943136,918946,0.0263,24190,grew
590,37.4201556,127.1262092,Seongnam,South Korea,942342,943768,-0.0015,1426,declined
591,32.753177,-97.3327459,Fort Worth,United States,942323,925954,0.0177,16369,grew
592,30.4211144,-9.5830626,Agadir,Morocco,941839,923552,0.0198,18287,grew
593,44.5498406,129.6259558,Mudanjiang,China,941660,925522,0.0174,16138,grew
594,23.3515642,58.7213422,Hamah,Syria,939904,921502,0.02,18402,grew
595,38.5762709,68.7863573,Dushanbe,Tajikistan,938444,915712,0.0248,22732,grew
596,23.3916357,110.074064,Guiping,China,937152,891158,0.0516,45994,grew
597,29.6653828,115.9474861,Jiujiang,China,936927,913212,0.026,23715,grew
598,50.9025349,-1.404189,Southampton,United Kingdom,935868,927916,0.0086,7952,grew
599,36.2030789,117.654083,Laiwu,China,934916,907839,0.0298,27077,grew
600,-16.3988667,-71.5369607,Arequipa,Peru,934845,922999,0.0128,11846,grew
601,8.3223763,-62.6896622,Ciudad Guayana,Venezuela,933968,917700,0.0177,16268,grew
602,6.9046909,122.076462,Zamboanga City,Philippines,930610,917477,0.0143,13133,grew
603,19.333333,-96.666667,Veracruz,Mexico,930387,918529,0.0129,11858,grew
604,30.3321838,-81.655651,Jacksonville,United States,929647,920577,0.0099,9070,grew
605,15.5062156,-88.0248937,San Pedro Sula,Honduras,929191,902751,0.0293,26440,grew
606,27.702973,115.49664,Zhucheng,China,926596,891494,0.0394,35102,grew
607,14.048667,100.5640405,Pathum Thani,Thailand,925893,913741,0.0133,12152,grew
608,24.4611511,88.6888703,Rajshahi,Bangladesh,924033,907732,0.018,16301,grew
609,40.957718,117.9543248,Chengde,China,920395,880494,0.0453,39901,grew
610,32.3745318,15.0904886,Misratah,Libya,918946,881319,0.0427,37627,grew
611,23.1144539,109.5946193,Guigang,China,917484,891173,0.0295,26311,grew
612,9.9175125,8.8979401,Jos,Nigeria,917289,895288,0.0246,22001,grew
613,26.0704018,-98.2963932,Reynosa,Mexico,917021,899084,0.02,17937,grew
614,32.9176422,117.3825673,Bengbu,China,915242,901773,0.0149,13469,grew
615,39.9622601,-83.0007065,Columbus,United States,913921,906237,0.0085,7684,grew
616,18.0018152,-92.9330401,Villahermosa,Mexico,913606,898461,0.0169,15145,grew
617,21.8603337,111.9776773,Yangjiang,China,912468,890013,0.0252,22455,grew
618,35.2272086,-80.8430827,Charlotte,United States,912096,898902,0.0147,13194,grew
619,35.5391697,129.3119136,Ulsan,South Korea,910778,910330,0.0005,448,grew
620,4.3907153,18.5509126,Bangui,Central African Republic,910270,889231,0.0237,21039,grew
621,35.7032751,-0.6492976,Oran,Algeria,910030,899182,0.0121,10848,grew
622,43.3545179,42.4311796,West Rand,South Africa,909301,897609,0.013,11692,grew
623,5.489736,7.0341973,Owerri,Nigeria,908109,872604,0.0407,35505,grew
624,-20.4640173,-54.6162947,Campo Grande,Brazil,907028,896864,0.0113,10164,grew
625,53.4071991,-2.99168,Liverpool,United Kingdom,906443,901708,0.0053,4735,grew
626,14.5870262,121.1758611,Antipolo,Philippines,902993,881018,0.0249,21975,grew
627,32.0010227,44.3299926,Najaf,Iraq,901405,873744,0.0317,27661,grew
628,24.5164639,117.6424895,Zhangzhou,China,900904,871690,0.0335,29214,grew
629,45.7566557,9.7542192,Bergamo,Italy,900094,892089,0.009,8005,grew
630,48.0158753,37.8013407,Donetsk,Ukraine,899325,905530,-0.0069,6205,declined
631,30.6635516,113.1616191,Tianmen,China,899094,869837,0.0336,29257,grew
632,5.517,5.75,Warri,Nigeria,898927,855941,0.0502,42986,grew
633,-23.3112878,-51.1595023,Londrina,Brazil,898681,885516,0.0149,13165,grew
634,26.40396,112.934066,Leiyang,China,896394,851071,0.0533,45323,grew
635,-7.9771206,112.6340291,Malang,Indonesia,896009,886620,0.0106,9389,grew
636,-34.9206797,-57.9537638,La Plata,Argentina,894159,884054,0.0114,10105,grew
637,-36.8270795,-73.0502399,Concepcion,Chile,891744,880722,0.0125,11022,grew
638,37.7364305,115.6677229,Hengshui,China,891603,856705,0.0407,34898,grew
639,36.0885338,111.512998,Linfen,China,891049,858103,0.0384,32946,grew
640,27.853572,114.8867147,Xinyu,China,890884,857567,0.0389,33317,grew
641,24.5910781,91.7177362,Sylhet,Bangladesh,890180,851808,0.045,38372,grew
642,40.128668,124.3863404,Dandong,China,890031,877258,0.0146,12773,grew
643,39.7683331,-86.1583502,Indianapolis,United States,887232,881808,0.0062,5424,grew
644,-14.966969,39.2707752,Nampula,Mozambique,887055,848096,0.0459,38959,grew
645,31.1244028,104.39013,Deyang,China,885818,857306,0.0333,28512,grew
646,29.0948207,-110.9692202,Hermosillo,Mexico,883916,867885,0.0185,16031,grew
647,37.7790262,-122.419906,San Francisco,United States,883255,882402,0.001,853,grew
