rank,Latitude,Longitude,Name of City,Country,2021 Population,2020 Population,Growth,Population Difference,Population Change
648,39.4605657,-5.8816626,Trujillo,Peru,877875,864633,0.0153,13242,grew
649,13.4115414,43.5570871,Taiz,Yemen,875941,845154,0.0364,30787,grew
650,16.2915189,80.4541588,Guntur,India,875474,854488,0.0246,20986,grew
651,31.9092756,120.2630426,Jiangyin,China,874924,843292,0.0375,31632,grew
652,19.3625308,73.0784747,Bhiwandi,India,874032,859435,0.017,14597,grew
653,-14.9191779,13.4896316,Lubango,Angola,870935,828248,0.0515,42687,grew
654,41.273887,123.1693463,Liaoyang,China,870185,855663,0.017,14522,grew
655,29.394644,71.6638747,Bahawalpur,Pakistan,869548,844673,0.0294,24875,grew
656,36.1829336,113.0985394,Changzhi,China,868308,846365,0.0259,21943,grew
657,57.153534,65.542274,Tyumen,Russia,866741,843196,0.0279,23545,grew
658,-25.5263889,28.0994444,Soshanguve,South Africa,866005,853347,0.0148,12658,grew
659,16.753801,-93.115959,Tuxtla Gutierrez,Mexico,865000,847924,0.0201,17076,grew
660,37.9404648,58.3823487,Ashgabat,Turkmenistan,864695,846255,0.0218,18440,grew
661,36.1911624,44.0094652,Erbil,Iraq,861158,846374,0.0175,14784,grew
662,41.9316387,126.4200169,Baishan,China,859381,821967,0.0455,37414,grew
663,27.6500795,113.4923249,Liling,China,857167,812975,0.0544,44192,grew
664,22.9912348,120.184982,Tainan,Taiwan,856736,849996,0.0079,6740,grew
665,11.9340568,79.8306447,Puducherry,India,856354,836003,0.0243,20351,grew
666,24.7978965,-107.393395,Culiacan,Mexico,856072,839054,0.0203,17018,grew
667,29.034552,111.6928724,Changde,China,853497,830010,0.0283,23487,grew
668,42.0151733,121.6452868,Fuxin,China,850647,839189,0.0137,11458,grew
669,38.1112268,13.3524434,Palermo,Italy,850179,851146,-0.0011,967,declined
670,34.4168215,115.6507447,Shangqiu,China,850165,826598,0.0285,23567,grew
671,37.0616519,114.499746,Xingtai,China,849674,831175,0.0223,18499,grew
672,25.4100012,49.580833,Hufuf-Mubarraz,Saudi Arabia,848479,836727,0.014,11752,grew
673,27.1773663,78.389912,Firozabad,India,845746,821043,0.0301,24703,grew
674,0.390002,9.454001,Libreville,Gabon,845100,834204,0.0131,10896,grew
675,30.200255,115.0333466,Huangshi,China,844307,828324,0.0193,15983,grew
676,51.530018,46.034683,Saratov,Russia,840883,842680,-0.0021,1797,declined
677,31.9553965,35.8906094,Banghazi,Libya,836031,823974,0.0146,12057,grew
678,39.4697065,-0.3763353,Valencia,Spain,835341,833724,0.0019,1617,grew
679,28.8744722,105.4385063,Luzhou,China,833637,822996,0.0129,10641,grew
680,46.8137431,-71.2084061,Quebec City,Canada,831776,826109,0.0069,5667,grew
681,28.7701941,104.6289601,Yibin,China,831013,814166,0.0207,16847,grew
682,37.5014422,126.7660139,Bucheon,South Korea,829592,832093,-0.003,2501,declined
683,4.5986817,101.0900236,Ipoh,Malaysia,827719,813553,0.0174,14166,grew
684,49.8955367,-97.1384584,Winnipeg,Canada,824771,816593,0.01,8178,grew
685,24.8500662,89.3728431,Bogra,Bangladesh,820297,775034,0.0584,45263,grew
686,-5.056395,12.3211749,Cabinda,Angola,819452,777697,0.0537,41755,grew
687,5.5324032,7.4924165,Umuahia,Nigeria,816983,773822,0.0558,43161,grew
688,32.127372,114.0676596,Xinyang,China,816967,797369,0.0246,19598,grew
689,32.9139151,119.8476035,Xinghua,China,815780,791297,0.0309,24483,grew
690,54.9738474,-1.6131572,Newcastle upon Tyne,United Kingdom,813807,809481,0.0053,4326,grew
691,37.85862,113.5730276,Yangquan,China,813696,794262,0.0245,19434,grew
692,40.6403167,22.9352716,Thessaloniki,Greece,812964,812166,0.001,798,grew
693,26.423568,111.6081495,Yongzhou,China,809415,781940,0.0351,27475,grew
694,44.4938203,11.3426327,Bologna,Italy,808931,805986,0.0037,2945,grew
695,37.5493473,45.0682863,Orumiyeh,Iran,808149,793044,0.019,15105,grew
696,30.919414,113.9516901,Xiaogan,China,806258,783483,0.0291,22775,grew
697,35.2477266,115.4464761,Heze,China,804759,795246,0.012,9513,grew
698,10.1898503,-64.7087416,Barcelona-Puerto La Cruz,Venezuela,804488,793641,0.0137,10847,grew
699,11.8395375,13.1536214,Maiduguri,Nigeria,802988,786485,0.021,16503,grew
700,41.7238743,86.173541,Kuerle,China,801993,761329,0.0534,40664,grew
701,37.6452283,138.7669125,Niigata,Japan,801982,804298,-0.0029,2316,declined
702,39.7666813,30.5255947,Eskisehir,Turkey,801612,783669,0.0229,17943,grew
703,9.740204,76.3324672,Cherthala,India,801264,764135,0.0486,37129,grew
704,28.9268429,118.8759775,Quzhou,China,798191,757655,0.0535,40536,grew
705,29.7296617,120.1805427,Zhuji,China,796974,777536,0.025,19438,grew
706,-23.5003451,-47.4582864,Sorocaba,Brazil,795569,785997,0.0122,9572,grew
707,40.8515302,122.7475513,Haicheng,China,795424,783484,0.0152,11940,grew
708,6.5536094,7.4143061,Enugu,Nigeria,795271,772872,0.029,22399,grew
709,52.9534193,-1.1496461,Nottingham,United Kingdom,794008,787610,0.0081,6398,grew
710,34.5797531,105.7062921,Tianshui,China,790461,765372,0.0328,25089,grew
711,40.7515443,120.8404789,Huludao,China,790403,775322,0.0195,15081,grew
712,19.5408338,-96.9146374,Xalapa,Mexico,787349,775620,0.0151,11729,grew
713,28.0159286,73.3171367,Bikaner,India,786652,771878,0.0191,14774,grew
714,50.1106444,8.6820917,Frankfurt,Germany,784780,777156,0.0098,7624,grew
715,27.5611227,109.963365,Huaihua,China,784323,751803,0.0433,32520,grew
716,15.2241917,101.9313754,Nakhon Ratchasima,Thailand,783180,774022,0.0118,9158,grew
717,-26.6747222,27.9261111,Vereeniging,South Africa,779530,774031,0.0071,5499,grew
718,36.4441808,115.9642007,Liaocheng,China,778562,760885,0.0232,17677,grew
719,47.6038321,-122.3300624,Seattle,United States,776555,765115,0.015,11440,grew
720,35.2075729,113.2533977,Jiaozuo,China,775685,766770,0.0116,8915,grew
721,33.8579594,115.772453,Bozhou,China,773217,742150,0.0419,31067,grew
722,14.4493717,79.9873763,Nellore,India,772941,751034,0.0292,21907,grew
723,43.2560802,-79.8728583,Hamilton,Canada,770976,766688,0.0056,4288,grew
724,40.8006696,29.431767,Gebze,Turkey,769633,744674,0.0335,24959,grew
726,32.1738588,120.0466771,Taixing,China,769620,747588,0.0295,22032,grew
725,8.4756417,124.6421532,Cagayan de Oro City,Philippines,769620,753138,0.0219,16482,grew
727,50.0619474,19.9368564,Krakow,Poland,769307,768731,0.0007,576,grew
728,31.3869323,120.9764683,Kunshan,China,769021,737654,0.0425,31367,grew
729,24.8136095,113.5922116,Shaoguan,China,767557,761249,0.0083,6308,grew
730,26.6711433,83.3645724,Gorakhpur,India,766646,758214,0.0111,8432,grew
731,14.3270819,120.9370871,Dasmarinas,Philippines,765742,747208,0.0248,18534,grew
732,21.1545412,77.6442962,Amravati,India,764645,752189,0.0166,12456,grew
733,35.493783,112.8519862,Jincheng,China,763554,733879,0.0404,29675,grew
734,39.5128345,116.6997446,Langfang,China,763320,739632,0.032,23688,grew
735,43.6908432,0.7735233,Ansan,South Korea,762698,760764,0.0025,1934,grew
736,24.9304741,50.9776888,Ar-Rayyan,Qatar,759174,737903,0.0288,21271,grew
737,35.5574725,45.435202,Sulaimaniya,Iraq,758795,739182,0.0265,19613,grew
738,20.4686,85.8792,Cuttack,India,751859,742011,0.0133,9848,grew
739,31.263235,32.305505,Bur Sa'id,Egypt,750373,737000,0.0181,13373,grew
740,39.7392364,-104.9848623,Denver,United States,749103,738157,0.0148,10946,grew
741,30.079061,103.8458201,Meishan,China,748981,723267,0.0356,25714,grew
742,33.0115818,114.0164565,Zhumadian,China,747329,716002,0.0438,31327,grew
743,29.3419256,104.7761224,Zigong,China,746711,737291,0.0128,9420,grew
744,-12.9104657,14.0356608,Benguela,Angola,745372,715130,0.0423,30242,grew
745,36.3654065,119.8005385,Gaomi,China,745055,716261,0.0402,28794,grew
746,30.6592336,116.6302585,Anqing,China,744768,726950,0.0245,17818,grew
747,23.6832984,113.0505994,Qingyuan,China,744726,734856,0.0134,9870,grew
748,-3.3187496,114.5925828,Banjarmasin,Indonesia,744334,732005,0.0168,12329,grew
749,30.6751205,113.8323146,Hanchuan,China,743610,715218,0.0397,28392,grew
750,32.0109736,119.6012702,Danyang,China,743482,718649,0.0346,24833,grew
751,29.4480063,77.740685,Muzaffarnagar,India,742227,716748,0.0355,25479,grew
752,7.802355,6.7430327,Lokoja,Nigeria,741482,692050,0.0714,49432,grew
753,32.6450475,130.6341345,Kumamoto,Japan,741455,742612,-0.0016,1157,declined
754,9.6287383,76.6455326,Kottayam,India,739212,696061,0.062,43151,grew
755,15.8572666,74.5069343,Belgaum,India,738074,724747,0.0184,13327,grew
756,32.0668425,36.0885771,Zarqa,Jordan,737085,729220,0.0108,7865,grew
757,11.0248119,7.6518533,Zaria,Nigeria,736098,726172,0.0137,9926,grew
758,53.3806626,-1.4702278,Sheffield,United Kingdom,735292,730158,0.007,5134,grew
759,-6.0999443,39.3209443,Zanzibar,Tanzania,734832,705078,0.0422,29754,grew
760,31.5128679,34.4581358,Gaza,Palestine,734547,713621,0.0293,20926,grew
761,41.6521342,-0.8809428,Zaragoza,Spain,733825,730828,0.0041,2997,grew
762,28.8602058,121.1419179,Linhai,China,732334,708981,0.0329,23353,grew
763,47.8507859,35.1182867,Zaporizhzhya,Ukraine,731984,736167,-0.0057,4183,declined
764,20.5902502,74.5714979,Malegaon,India,731493,715605,0.0222,15888,grew
765,-23.1860383,-45.8866816,Sao Jose dos Campos,Brazil,731481,721795,0.0134,9686,grew
766,7.7791666,4.5538891,Oshogbo,Nigeria,730529,713677,0.0236,16852,grew
767,39.604,109.785,Ordos City,China,730229,706657,0.0334,23572,grew
768,26.958944,111.283087,Shaoyang,China,729522,713559,0.0224,15963,grew
769,9.172188,76.5008685,Kayamkulam,India,726675,694892,0.0457,31783,grew
770,46.8087794,130.3734556,Jiamusi,China,726622,715965,0.0149,10657,grew
771,12.8698101,74.8430082,Mangalore,India,724159,713357,0.0151,10802,grew
772,34.6553944,133.9194595,Okayama,Japan,724157,724696,-0.0007,539,declined
773,-21.178333,-47.8066671,Ribeirao Preto,Brazil,724044,714111,0.0139,9933,grew
774,34.3075655,108.7234362,Xianyang Shaanxi,China,723612,715007,0.012,8605,grew
775,1.5557893,30.2519376,Bunia,DR Congo,723276,679418,0.0646,43858,grew
776,49.841952,24.0315921,Lviv,Ukraine,722476,723758,-0.0018,1282,declined
777,37.2793607,49.5846102,Rasht,Iran,722026,712715,0.0131,9311,grew
778,36.4794705,119.2129818,Anqiu,China,721402,682299,0.0573,39103,grew
779,43.6428995,122.2558324,Tongliao,China,720662,702280,0.0262,18382,grew
780,36.6421169,127.4891742,Cheongju,South Korea,720584,717027,0.005,3557,grew
781,32.4935378,74.5411575,Sialkot,Pakistan,720439,705121,0.0217,15318,grew
782,9.7452286,-63.1799873,Maturin,Venezuela,717788,694716,0.0332,23072,grew
783,44.23052,-91.864325,Buffalo City,South Africa,717067,708559,0.012,8508,grew
784,26.5860102,101.7179276,Panzhihua,China,716878,707134,0.0138,9744,grew
785,30.5061493,105.574542,Suining Sichuan,China,716754,699679,0.0244,17075,grew
786,42.8888552,129.5008425,Yanji,China,716660,695165,0.0309,21495,grew
787,30.9474457,117.8057282,Tongling,China,715946,696639,0.0277,19307,grew
788,23.5715402,111.0139268,Wuzhou,China,715472,696630,0.027,18842,grew
789,17.0604663,-96.7253575,Oaxaca de Juarez,Mexico,714983,704559,0.0148,10424,grew
790,38.8950368,-77.0365427,Washington,United States,714153,709951,0.0059,4202,grew
791,32.0898005,72.6782574,Sargodha,Pakistan,712961,700095,0.0184,12866,grew
792,21.7718836,72.1416449,Bhavnagar,India,711625,700367,0.0161,11258,grew
793,-28.0023731,153.4145987,Gold Coast,Australia,710650,699226,0.0163,11424,grew
794,36.5853932,109.4828549,Yan'an,China,710029,678619,0.0463,31410,grew
795,-12.8104186,28.2068361,Kitwe,Zambia,709854,685908,0.0349,23946,grew
796,43.7698712,11.2555757,Florence,Italy,709064,708357,0.001,707,grew
797,32.7185614,74.8580917,Jammu,India,708612,702085,0.0093,6527,grew
798,38.2851657,109.7290619,Yulin Shaanxi,China,706571,695614,0.0158,10957,grew
799,19.169335,77.311013,Nanded Waghala,India,705667,689771,0.023,15896,grew
800,31.216036,107.5027564,Dazhou,China,705321,682342,0.0337,22979,grew
801,13.6316368,79.4231711,Tirupati,India,704615,679456,0.037,25159,grew
802,14.4589855,120.9398889,Bacoor,Philippines,704334,686398,0.0261,17936,grew
803,-9.535332,16.9364293,Malanje,Angola,704271,665150,0.0588,39121,grew
804,32.6880537,112.0818901,Dengzhou,China,703922,673626,0.045,30296,grew
805,52.0799838,4.3113461,The Hague,Netherlands,703588,697564,0.0086,6024,grew
806,25.0767425,117.0123483,Longyan,China,703524,691987,0.0167,11537,grew
807,35.027637,111.002141,Yuncheng,China,703194,675082,0.0416,28112,grew
808,37.3886303,-5.9953403,Seville,Spain,702386,703790,-0.002,1404,declined
809,6.3676953,2.4252507,Cotonou,Benin,698868,691949,0.01,6919,grew
810,32.8536216,120.3122464,Dongtai,China,698218,676996,0.0313,21222,grew
811,53.51495,49.407574,Tolyatti,Russia,696889,700252,-0.0048,3363,declined
812,-25.1076701,-64.3494964,Salta,Argentina,696715,684751,0.0175,11964,grew
813,42.222633,-7.9049545,Merca,Somalia,696510,666370,0.0452,30140,grew
814,48.8588897,2.320041,Bali,Indonesia,695940,682065,0.0203,13875,grew
815,30.0393082,121.1501449,Yuyao,China,695704,678841,0.0248,16863,grew
816,42.3602534,-71.0582912,Boston,United States,695506,694053,0.0021,1453,grew
817,-18.9188041,-48.2767837,Uberlandia,Brazil,695461,686896,0.0125,8565,grew
818,21.270278,40.415833,Taif,Saudi Arabia,694894,688693,0.009,6201,grew
819,30.9182867,111.9278808,Yuxi,China,693811,662863,0.0467,30948,grew
820,17.9640988,102.6133707,Vientiane,Laos,693594,682542,0.0162,11052,grew
821,51.4538022,-2.5972985,Bristol,United Kingdom,693552,686210,0.0107,7342,grew
822,-9.0478679,-70.5264976,Akure,Nigeria,690533,665524,0.0376,25009,grew
823,14.1419291,44.1389849,Ibb,Yemen,690456,648889,0.0641,41567,grew
824,20.5218445,-100.8139609,Celaya,Mexico,689735,680971,0.0129,8764,grew
825,14.7978677,42.9544872,Al-Hudaydah,Yemen,689640,668899,0.031,20741,grew
826,36.8150283,127.1140654,Cheonan,South Korea,688543,679802,0.0129,8741,grew
827,-23.1887668,-46.884506,Jundiai,Brazil,688192,678521,0.0143,9671,grew
828,17.166667,77.083333,Gulbarga,India,687882,673027,0.0221,14855,grew
829,-12.6076318,15.7411039,Huambo,Angola,687795,671413,0.0244,16382,grew
830,45.4077172,11.8734455,Padova,Italy,687698,683604,0.006,4094,grew
831,23.5350475,87.3380425,Durgapur,India,686568,675384,0.0166,11184,grew
832,15.8309251,78.0425373,Kurnool,India,685818,665186,0.031,20632,grew
833,31.7754152,-106.464634,El Paso,United States,685434,683581,0.0027,1853,grew
834,47.2186371,-1.5541362,Nantes,France,685377,677766,0.0112,7611,grew
835,26.331667,43.971667,Buraydah,Saudi Arabia,684626,668775,0.0237,15851,grew
836,45.8131847,15.9771774,Zagreb,Croatia,684524,684878,-0.0005,354,declined
837,31.8782976,120.5514595,Zhangjiagang,China,683500,656036,0.0419,27464,grew
838,-0.0226903,109.3447488,Pontianak,Indonesia,680655,667910,0.0191,12745,grew
839,44.6173543,27.314991,Amara,Iraq,680156,655663,0.0374,24493,grew
840,50.6451381,5.5734203,Liege,Belgium,679895,677589,0.0034,2306,grew
841,31.4590371,121.1264772,Taicang,China,679623,654441,0.0385,25182,grew
842,36.1622767,-86.7742984,Nashville,United States,678448,674634,0.0057,3814,grew
843,44.40726,8.9338624,Genoa,Italy,677222,679613,-0.0035,2391,declined
844,30.3925379,114.8898988,Ezhou,China,676600,668405,0.0123,8195,grew
845,9.8694792,-83.7980749,Santiago,Dominican Republic,672272,664575,0.0116,7697,grew
846,-37.9977225,-57.5482703,Mar Del Plata,Argentina,672116,665707,0.0096,6409,grew
847,9.4051992,-0.8423986,Tamale,Ghana,671812,641911,0.0466,29901,grew
848,33.6306299,114.6423617,Zhoukou,China,671419,650060,0.0329,21359,grew
849,51.7687323,19.4569911,Lodz,Poland,671395,676830,-0.008,5435,declined
850,-1.6665685,29.225652,Goma,DR Congo,670218,634197,0.0568,36021,grew
851,35.4729886,-97.5170536,Oklahoma City,United States,669347,662202,0.0108,7145,grew
852,35.5200185,35.7781044,Lattakia,Syria,668809,655714,0.02,13095,grew
853,36.1672559,-115.148516,Las Vegas,United States,667501,659410,0.0123,8091,grew
854,28.3251866,37.6328648,Tabuk,Saudi Arabia,667155,657277,0.015,9878,grew
855,32.7165184,108.9912989,Ankang,China,666656,636293,0.0477,30363,grew
856,6.112331,125.1717145,General Santos City,Philippines,665418,652723,0.0194,12695,grew
857,38.7063767,116.1062203,Renqiu,China,664262,640271,0.0375,23991,grew
858,42.3315509,-83.0466403,Detroit,United States,664139,667085,-0.0044,2946,declined
859,26.2235041,50.5822436,Manama,Bahrain,663893,634508,0.0463,29385,grew
860,27.6995215,111.9890658,Loudi,China,663765,639167,0.0385,24598,grew
861,35.8242715,127.1480657,Jeonju,South Korea,663607,663145,0.0007,462,grew
862,27.2858633,105.2865997,Bijie,China,662697,637795,0.039,24902,grew
863,45.5202471,-122.6741949,Portland,United States,662549,658645,0.0059,3904,grew
864,13.0611195,5.3152203,Sokoto,Nigeria,662173,641249,0.0326,20924,grew
865,21.9647835,108.620787,Qinzhou,China,661953,644359,0.0273,17594,grew
866,22.1757605,113.5514142,Macao,Macau,661838,651875,0.0153,9963,grew
867,41.2946149,36.3320596,Samsun,Turkey,660863,642592,0.0284,18271,grew
868,37.7733197,29.0869273,Denizli,Turkey,660643,644782,0.0246,15861,grew
869,29.9873344,122.2030363,Zhoushan,China,659777,647419,0.0191,12358,grew
870,45.6119057,8.8520522,Busto Arsizio,Italy,657698,654258,0.0053,3440,grew
871,30.6316971,120.5610365,Tongxiang,China,656136,629527,0.0423,26609,grew
872,24.4490237,117.8132438,Longhai,China,655081,631203,0.0378,23878,grew
873,35.7631348,115.0234071,Puyang,China,654261,632347,0.0347,21914,grew
874,24.3705146,111.3590955,Hezhou,China,654185,625304,0.0462,28881,grew
875,25.5310311,78.652689,Jhansi,India,653879,642709,0.0174,11170,grew
876,29.5827203,105.0544575,Neijiang,China,653866,645874,0.0124,7992,grew
877,56.866557,53.2094166,Izhevsk,Russia,651601,651338,0.0004,263,grew
878,35.1490215,-90.0516285,Memphis,United States,651011,651042,0,31,declined
879,22.4732415,70.0552102,Jamnagar,India,650977,644738,0.0097,6239,grew
880,13.322312,43.252987,As-Suways,Egypt,649368,638229,0.0175,11139,grew
881,11.3692044,77.6766269,Erode,India,647988,634977,0.0205,13011,grew
882,25.2856329,51.5264162,Doha,Qatar,646177,641380,0.0075,4797,grew
883,20.1165413,-98.7413535,Pachuca de Soto,Mexico,646101,633453,0.02,12648,grew
884,31.8729183,121.1771295,Haimen,China,645598,626067,0.0312,19531,grew
885,41.7829291,129.7825241,Chongjin,North Korea,645488,642447,0.0047,3041,grew
886,-6.766417,-79.8408308,Chiclayo,Peru,645366,637255,0.0127,8111,grew
887,39.6540161,106.7879045,Wuhai,China,644895,630295,0.0232,14600,grew
888,47.3355856,130.2836718,Hegang,China,644894,638855,0.0095,6039,grew
889,18.2534658,109.5034392,Sanya,China,644727,625290,0.0311,19437,grew
890,31.2457442,34.7925181,Be'er Sheva,Israel,644278,637539,0.0106,6739,grew
891,24.833333,-104.833333,Durango,Mexico,642750,630982,0.0187,11768,grew
892,23.6579595,86.0839161,Bokaro Steel City,India,642145,633551,0.0136,8594,grew
893,51.1263106,16.9781963,Wroclaw,Poland,642085,641401,0.0011,684,grew
894,52.289597,104.280586,Irkutsk,Russia,641504,638843,0.0042,2661,grew
895,53.347402,83.7784496,Barnaul,Russia,640396,639783,0.001,613,grew
896,19.7540045,96.1344976,Nay Pyi Taw,Myanmar,639759,593596,0.0778,46163,grew
897,-20.1560599,28.5887063,Bulawayo,Zimbabwe,639722,638188,0.0024,1534,grew
898,28.8101339,113.0613336,Miluo,China,639015,604159,0.0577,34856,grew
899,45.4371908,12.3345898,Venezia,Italy,638264,637245,0.0016,1019,grew
900,-1.611572,102.779699,Jambi,Indonesia,637037,626192,0.0173,10845,grew
901,25.2689153,55.3152795,Safaqis,Tunisia,636613,630175,0.0102,6438,grew
902,48.481403,135.076935,Khabarovsk,Russia,636254,633151,0.0049,3103,grew
903,34.3508273,62.2164003,Herat,Afghanistan,635579,605575,0.0495,30004,grew
904,51.2254018,6.7763137,Duesseldorf,Germany,635046,631942,0.0049,3104,grew
905,54.596391,-5.9301829,Belfast,United Kingdom,634594,630632,0.0063,3962,grew
906,31.0440068,46.2575523,Nasiriyah,Iraq,634492,616994,0.0284,17498,grew
907,48.7784485,9.1800132,Stuttgart,Germany,633808,632692,0.0018,1116,grew
908,45.4384958,10.9924122,Verona,Italy,633128,629658,0.0055,3470,grew
909,22.2142849,84.8724369,Raurkela,India,631310,622636,0.0139,8674,grew
910,32.6075,43.910833,Jubayl,Saudi Arabia,631060,605743,0.0418,25317,grew
911,56.9493977,24.1051846,Riga,Latvia,627763,630692,-0.0046,2929,declined
912,27.1793466,56.2781423,Bandar Abbas,Iran,627174,606633,0.0339,20541,grew
913,16.7028412,74.2405329,Kolhapur,India,626791,619358,0.012,7433,grew
914,10.6762836,122.9513786,Bacolod,Philippines,624783,613437,0.0185,11346,grew
915,45.649723,9.2053919,Seregno,Italy,624706,619871,0.0078,4835,grew
916,54.3107593,48.3642771,Ulyanovsk,Russia,624103,624896,-0.0013,793,declined
917,-3.1982504,29.0071409,Uvira,DR Congo,622862,589731,0.0562,33131,grew
918,24.2258413,55.7474052,Al-Ain,United Arab Emirates,622675,610887,0.0193,11788,grew
919,41.1257843,16.8620293,Bari,Italy,622590,622377,0.0003,213,grew
920,22.6570263,110.1765019,Yulin Guangxi,China,622115,613668,0.0138,8447,grew
921,26.4691,74.639,Ajmer,India,621505,613617,0.0129,7888,grew
922,1.5574127,110.3439862,Kuching,Malaysia,621114,611566,0.0156,9548,grew
923,11.861324,-15.583055,Bissau,Guinea-Bissau,620974,599714,0.0355,21260,grew
924,10.6228284,10.0287754,Bauchi,Nigeria,620800,597679,0.0387,23121,grew
925,46.2017559,6.1466014,Geneva,Switzerland,620131,613373,0.011,6758,grew
926,30.2745483,109.4833079,Enshi,China,619178,586667,0.0554,32511,grew
927,26.254911,105.9437773,Anshun,China,619116,600121,0.0317,18995,grew
928,6.9387469,79.8541134,Colombo,Sri Lanka,619001,612535,0.0106,6466,grew
929,23.4423808,112.6997273,Sihui,China,618859,591080,0.047,27779,grew
930,33.069049,107.018889,Hanzhong,China,618109,605327,0.0211,12782,grew
931,23.1885131,75.7716562,Ujjain,India,617812,607055,0.0177,10757,grew
932,57.7072326,11.9670171,Gothenburg,Sweden,617781,610521,0.0119,7260,grew
933,37.6866796,112.7383414,Jinzhong,China,617236,599611,0.0294,17625,grew
934,30.2090874,76.3398721,Patiala,India,616590,599186,0.029,17404,grew
935,29.4928874,60.8503017,Zahedan,Iran,616511,609873,0.0109,6638,grew
936,28.8680526,79.298385,Bilaspur,India,616394,599812,0.0276,16582,grew
937,38.2542376,-85.759407,Louisville,United States,615924,616781,-0.0014,857,declined
938,14.8110432,121.0491569,San Jose del Monte,Philippines,615815,607692,0.0134,8123,grew
939,15.239041,44.145513,Hillah,Iraq,615167,604149,0.0182,11018,grew
940,47.9102734,33.3917703,Kryvyi Rih,Ukraine,613696,618706,-0.0081,5010,declined
941,57.6263877,39.8933705,Yaroslavl,Russia,612502,612365,0.0002,137,grew
942,50.8214626,-0.1400561,Brighton,United Kingdom,612159,606909,0.0087,5250,grew
943,-12.2578934,-38.9598047,Feira De Santana,Brazil,609939,602128,0.013,7811,grew
944,43.1150678,131.8855768,Vladivostok,Russia,609632,609754,-0.0002,122,declined
945,23.4610615,91.1808748,Comilla,Bangladesh,609345,588772,0.0349,20573,grew
946,19.416667,-98.166667,Tlaxcala,Mexico,606590,596362,0.0172,10228,grew
947,43.1669821,124.364739,Siping,China,604724,594482,0.0172,10242,grew
948,39.9815552,117.0714873,Sanhe,China,604549,576241,0.0491,28308,grew
949,4.9795999,8.3373597,Calabar,Nigeria,604546,579273,0.0436,25273,grew
950,27.633333,77.583333,Mathura,India,603301,588334,0.0254,14967,grew
951,6.3208897,8.1133202,Abakaliki,Nigeria,601712,572028,0.0519,29684,grew
952,34.5307313,113.3761237,Xinmi,China,600980,575696,0.0439,25284,grew
953,41.9960924,21.4316495,Skopje,North Macedonia,600708,595275,0.0091,5433,grew
954,42.9830241,47.5048717,Makhachkala,Russia,600541,599792,0.0012,749,grew
955,58.6124279,82.0475315,Tomsk,Russia,600254,595642,0.0077,4612,grew
956,32.0165721,120.2693683,Jingjiang,China,599221,577513,0.0376,21708,grew
957,24.7337639,118.6439351,Shishi,China,598547,585317,0.0226,13230,grew
958,25.6301525,119.3756376,Fuqing,China,597698,584631,0.0224,13067,grew
959,37.2595198,39.0408174,Sanliurfa,Turkey,596713,590522,0.0105,6191,grew
960,51.3406321,12.3747329,Leipzig,Germany,596230,591052,0.0088,5178,grew
961,23.8312377,91.2823821,Agartala,India,595210,575073,0.035,20137,grew
962,30.3635622,113.4170705,Xiantao,China,594155,588540,0.0095,5615,grew
963,47.7231316,128.8785919,Yichun Heilongjiang,China,593871,598465,-0.0077,4594,declined
964,24.7991162,93.9364419,Imphal,India,593524,575625,0.0311,17899,grew
965,30.0981854,114.9747162,Daye,China,592972,578374,0.0252,14598,grew
966,-8.9740144,33.3915834,Mbeya,Tanzania,592579,566065,0.0468,26514,grew
967,22.9212029,110.9898501,Cenxi,China,592553,565509,0.0478,27044,grew
968,17.9712148,-76.7928128,Kingston,Jamaica,592477,590940,0.0026,1537,grew
969,16.8502534,74.5948885,Sangli,India,592117,583629,0.0145,8488,grew
970,-15.5986686,-56.0991301,Cuiaba,Brazil,591522,588566,0.005,2956,grew
971,39.6550017,66.9756954,Samarkand,Uzbekistan,591252,578762,0.0216,12490,grew
972,36.7213028,-4.4216366,Malaga,Spain,591091,590032,0.0018,1059,grew
973,4.4386453,-75.2105974,Ibague,Colombia,590686,586187,0.0077,4499,grew
974,51.5142273,7.4652789,Dortmund,Germany,589748,589600,0.0003,148,grew
975,31.521587,130.5474077,Kagoshima,Japan,588413,591042,-0.0044,2629,declined
976,10.395075,-71.4414049,Cabimas,Venezuela,588348,578222,0.0175,10126,grew
977,45.7700345,131.0074987,Qitaihe,China,588212,578992,0.0159,9220,grew
978,43.0349931,-87.922497,Milwaukee,United States,587721,588939,-0.0021,1218,declined
979,37.5023612,15.0873718,Catania,Italy,586049,585877,0.0003,172,grew
980,13.5708192,100.2585874,Samut Sakhon,Thailand,585964,578273,0.0133,7691,grew
981,-10.9891601,26.7397418,Likasi,DR Congo,585678,567839,0.0314,17839,grew
982,-19.828707,34.841782,Beira,Mozambique,584989,569911,0.0265,15078,grew
983,34.973321,48.6555779,Hamadan,Iran,584645,577808,0.0118,6837,grew
984,39.3307915,112.4235469,Shuozhou,China,584272,563456,0.0369,20816,grew
985,41.7225544,125.9170455,Tonghua,China,584209,572967,0.0196,11242,grew
986,11.8145966,42.8453061,Djibouti,Djibouti,583695,576157,0.0131,7538,grew
987,51.4582235,7.0158171,Essen,Germany,581579,582128,-0.0009,549,declined
988,43.1257311,5.9304919,Toulon,France,581264,579095,0.0037,2169,grew
